age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,ID,y
45,blue-collar,married,secondary,no,2,no,no,cellular,26,aug,105,10,-1,0,unknown,22944,no
34,admin.,divorced,secondary,no,0,no,no,cellular,10,jul,268,1,-1,0,unknown,13870,no
40,technician,divorced,secondary,no,311,no,no,cellular,6,aug,738,2,-1,0,unknown,19301,yes
58,self-employed,married,tertiary,no,5810,no,no,cellular,12,mar,139,1,-1,0,unknown,31334,yes
59,blue-collar,married,secondary,no,169,yes,no,unknown,16,may,181,3,-1,0,unknown,3849,no
36,services,married,secondary,no,24,yes,yes,unknown,11,jun,100,5,-1,0,unknown,10192,no
34,entrepreneur,married,secondary,yes,-868,yes,no,unknown,30,jun,198,2,-1,0,unknown,12411,no
38,services,married,secondary,no,-140,no,no,unknown,25,jun,456,3,-1,0,unknown,12310,no
52,technician,married,secondary,no,98,yes,no,cellular,28,jan,103,1,245,2,failure,27838,no
48,blue-collar,married,primary,no,1203,no,no,cellular,6,aug,61,5,-1,0,unknown,19423,no
28,services,single,secondary,no,387,no,no,cellular,3,feb,158,5,-1,0,unknown,29456,no
43,management,married,tertiary,no,1429,yes,no,cellular,19,nov,1015,1,198,2,other,25662,yes
37,management,married,tertiary,no,2205,no,no,unknown,21,may,85,4,-1,0,unknown,5131,no
52,management,divorced,tertiary,no,0,no,no,cellular,21,nov,328,1,-1,0,unknown,26935,no
45,blue-collar,married,secondary,no,2071,no,yes,telephone,22,jul,1148,2,-1,0,unknown,16183,no
32,technician,single,tertiary,no,1068,no,no,cellular,6,aug,175,4,-1,0,unknown,19381,no
22,services,married,secondary,no,83,yes,no,unknown,13,may,101,1,-1,0,unknown,2346,no
50,technician,married,secondary,no,1088,yes,no,unknown,20,jun,179,21,-1,0,unknown,11940,no
56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,18023,no
39,blue-collar,married,secondary,no,300,yes,no,cellular,14,may,506,1,-1,0,unknown,37787,no
27,services,single,secondary,no,261,yes,yes,cellular,18,may,113,1,-1,0,unknown,39078,no
29,admin.,single,secondary,no,187,no,no,cellular,28,jan,299,1,-1,0,unknown,27808,no
29,admin.,single,secondary,no,27,yes,no,cellular,6,may,754,1,-1,0,unknown,35027,yes
41,management,divorced,unknown,no,465,yes,no,cellular,22,jul,1508,1,-1,0,unknown,16068,yes
41,technician,married,secondary,no,799,no,no,cellular,31,jul,125,6,-1,0,unknown,18340,no
40,blue-collar,married,secondary,no,1074,yes,no,cellular,9,apr,90,2,-1,0,unknown,31931,no
52,blue-collar,married,secondary,no,633,yes,no,cellular,14,may,292,1,-1,0,unknown,37879,no
43,management,married,tertiary,no,439,no,no,unknown,17,jun,71,1,-1,0,unknown,10826,no
35,services,married,secondary,no,302,yes,no,cellular,6,may,137,1,364,1,failure,34826,no
55,services,divorced,secondary,yes,-404,yes,no,cellular,22,jul,502,3,-1,0,unknown,16081,no
34,technician,single,secondary,no,105,yes,no,cellular,17,nov,303,1,196,2,failure,24199,no
